userId,session,start,end,readWords,unknownWords,wpm,hours
OQJ8K3jcLOM3eYaImkyN,0,1569356208,1569398480,2413,50,106.9756841943595,2.1252222222222223
OQJ8K3jcLOM3eYaImkyN,1,1569438878,1569440529,1002,26,151.0725307460107,0.35547222222222224
OQJ8K3jcLOM3eYaImkyN,2,1569610830,1569610934,488,11,251.7092341631488,0.034944444444444445
OQJ8K3jcLOM3eYaImkyN,3,1569721086,1569727362,2651,29,184.82766136986797,1.4098888888888885
OQJ8K3jcLOM3eYaImkyN,4,1569785397,1569812474,273,6,31.843938582715264,0.1438888888888889
OQJ8K3jcLOM3eYaImkyN,5,1569978995,1569981086,4281,67,141.7565520096545,0.5565000000000001
Qlx6BhWaluZqolMaJ0JU,0,1568943293,1568943293,150,0,523.2558139534883,0.0047777777777777775
Qlx6BhWaluZqolMaJ0JU,1,1569294423,1569294423,125,2,382.65306122448976,0.0054444444444444445
Qlx6BhWaluZqolMaJ0JU,2,1569439379,1569439379,135,0,698.2758620689656,0.0032222222222222222
SutG8ZQfC0HYGsbcZahj,0,1569267743,1569268142,1115,11,451.77750107324806,0.09861111111111111
SutG8ZQfC0HYGsbcZahj,1,1569534279,1569534369,527,3,376.34423635180923,0.06344444444444444
TCD3XQ9phdSnlOCsK5d8,0,1570315782,1570317361,578,0,324.9731021144045,0.3166111111111111
UpifsWKmy7kckaKo5VrG,0,1569609681,1569609681,92,2,890.3225806451612,0.0017222222222222222
UpifsWKmy7kckaKo5VrG,1,1570299903,1570299903,132,0,510.96774193548384,0.0043055555555555555
VZoFz6dINEkriPVrpCyH,0,1569446503,1569450252,11401,58,504.86744460300145,0.5448333333333327
VbFRYXiXVyBLWzGDlqqm,0,1569313832,1569315702,1340,22,254.54589206109242,0.18502777777777776
VbFRYXiXVyBLWzGDlqqm,1,1569649908,1569649952,434,2,441.6367106255001,0.017333333333333336
VbFRYXiXVyBLWzGDlqqm,2,1570277014,1570277051,287,0,305.7929925371786,0.015694444444444445
VbFRYXiXVyBLWzGDlqqm,3,1570794434,1570794480,310,6,670.3109909809838,0.010833333333333334
VbFRYXiXVyBLWzGDlqqm,4,1571037701,1571037892,725,3,369.39526064616706,0.051916666666666667
VbFRYXiXVyBLWzGDlqqm,5,1571220413,1571221256,928,7,238.17841777638145,0.25122222222222224
WrYdwVUTTEN6aUFhH256,0,1584812654,1584812654,6,0,120.0,0.0026111111111111114
