word,pos,signal,userId,cheat,session,time,eltime,wpm,i
thing,NN,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571438,77.0,144.93506493506493,19
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,3,1570571438,77.0,144.93506493506493,19
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570925820,118.1,68.58594411515665,20
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570925820,118.1,68.58594411515665,20
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570925820,118.1,68.58594411515665,20
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570925962,141.7,68.17219477769937,21
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570925962,141.7,68.17219477769937,21
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926007,45.2,200.44247787610618,22
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926007,45.2,200.44247787610618,22
Court,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926007,45.2,200.44247787610618,22
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926007,45.2,200.44247787610618,22
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926007,45.2,200.44247787610618,22
Jade,NN,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926007,45.2,200.44247787610618,22
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926007,45.2,200.44247787610618,22
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926007,45.2,200.44247787610618,22
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926062,55.1,154.6279491833031,23
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926062,55.1,154.6279491833031,23
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926062,55.1,154.6279491833031,23
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926062,55.1,154.6279491833031,23
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926121,58.2,183.50515463917526,24
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926121,58.2,183.50515463917526,24
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926121,58.2,183.50515463917526,24
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926121,58.2,183.50515463917526,24
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926155,34.0,308.82352941176475,25
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926155,34.0,308.82352941176475,25
Jade,NN,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926155,34.0,308.82352941176475,25
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926155,34.0,308.82352941176475,25
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926204,49.2,187.80487804878047,26
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926204,49.2,187.80487804878047,26
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926204,49.2,187.80487804878047,26
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926255,51.7,200.77369439071566,27
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926297,41.3,251.33171912832933,28
would,MD,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926297,41.3,251.33171912832933,28
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926297,41.3,251.33171912832933,28
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926297,41.3,251.33171912832933,28
Jade,NNP,1.0,0bHdAlU0BUXj4OLRPzTZ,False,4,1570926297,41.3,251.33171912832933,28
She,PRP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841462,34.6,189.01734104046244,29
back,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841462,34.6,189.01734104046244,29
lips,NNS,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841462,34.6,189.01734104046244,29
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841462,34.6,189.01734104046244,29
She,PRP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841462,34.6,189.01734104046244,29
back,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841462,34.6,189.01734104046244,29
back,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841463,36.6,218.03278688524588,30
She,PRP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841463,36.6,218.03278688524588,30
back,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841463,36.6,218.03278688524588,30
back,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841463,36.6,218.03278688524588,30
She,PRP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841463,36.6,218.03278688524588,30
back,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841463,36.6,218.03278688524588,30
She,PRP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841463,36.4,204.3956043956044,31
back,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841463,36.4,204.3956043956044,31
cousins,NNS,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841463,36.4,204.3956043956044,31
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841463,36.4,204.3956043956044,31
always,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841464,49.8,153.0120481927711,32
always,RB,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841464,49.8,153.0120481927711,32
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841464,49.8,153.0120481927711,32
knew,VBD,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841464,49.8,153.0120481927711,32
The,DT,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841464,41.5,189.3975903614458,33
household,NN,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841464,41.5,189.3975903614458,33
older,JJR,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841464,41.5,189.3975903614458,33
She,PRP,1.0,1Rsz2bT8FXMEeBUBHuxl,False,0,1570841464,35.2,228.4090909090909,34
